Belegnummer;Buchungsdatum;Werk;Materialnummer;Kurztext;Menge;Mengeneinheit;Nettowert;Währung;Kostenstelle
4900000123;15.01.2026;1000;MAT-DIES-B7;Diesel B7 Tankstelle Werk Hamburg;1.245,50;L;1.612,30;EUR;HH-LOG-01
4900000124;15.01.2026;1000;MAT-BENZ-E10;Benzin E10 Fuhrpark;312,75;L;435,80;EUR;HH-LOG-01
4900000125;18.01.2026;1100;MAT-DIES-B7;Diesel B7 Werkstankanlage MA;2.001,00;L;2.612,40;EUR;MA-OPS-02
4900000126;20.01.2026;1200;MAT-SCHMR;Schmieröl Hydraulik;48,00;L;512,00;EUR;LE-MAINT-03
4900000127;22.01.2026;1200;MAT-FILT;Filtersatz Druckluft;12,00;ST;1.840,00;EUR;LE-MAINT-03
4900000128;25.01.2026;9999;MAT-DIES-B7;Diesel B7 Aushilfsstandort;500,00;L;645,00;EUR;HH-LOG-01
4900000129;28.01.2026;2000;MAT-DIES-B7;Diesel B7 Plant Rotterdam;3.450,75;L;4.485,98;EUR;RO-LOG-01
4900000130;30.01.2026;2000;MAT-BENZ-E10;Benzin E10 Plant Rotterdam Pool;0,80;MWh;1.150,00;EUR;RO-LOG-01
4900000131;31.01.2026;3000;MAT-DIES-B7;Diesel B7 Manchester Yard;820,00;L;1.230,00;GBP;MAN-OPS-01
4900000132;02.02.2026;4000;MAT-BENZ-E10;Benzin E10 Lyon Site;640,25;L;921,60;EUR;LY-OPS-02
4900000133;05.02.2026;1000;MAT-DIES-B7;Diesel B7 Tankstelle Werk Hamburg;-50,00;L;-72,50;EUR;HH-LOG-01
4900000134;08.02.2026;1000;MAT-DIES-B7;Diesel B7 USA Plant Pickup;1.100,00;GAL;1.420,00;USD;HH-LOG-01
4900000135;12.02.2026;1100;MAT-SCHMR;Schmieröl Spezial;75,00;L;1.250,00;EUR;MA-OPS-02
4900000123;15.02.2026;1000;MAT-DIES-B7;Diesel B7 Tankstelle Werk Hamburg (Resubmit);1.245,50;L;1.612,30;EUR;HH-LOG-01
