Meter ID,Site,Period Start,Period End,Rate,Consumption (kWh),Unit,Amount,Currency,Invoice Number
1900-2845-001,Hamburg HQ,2026-01-01,2026-01-31,Peak,24500,kWh,4165.00,EUR,INV-2026-00451
1900-2845-001,Hamburg HQ,2026-01-01,2026-01-31,Off-Peak,18750,kWh,2531.25,EUR,INV-2026-00451
1900-2845-002,Hamburg HQ,2026-01-15,2026-02-14,Standard,4820,kWh,819.40,EUR,INV-2026-00452
3300-7720-004,Manchester Yard,2026-01-01,2026-01-31,Standard,12340,kWh,2098.80,GBP,INV-MAN-2026-1
3300-7720-005,Manchester Yard,2026-01-01,2026-01-31,Standard,15,MWh,2550.00,GBP,INV-MAN-2026-2
4400-1112-001,Lyon Site,2026-01-08,2026-02-07,Standard,8900,kWh,1335.00,EUR,INV-LY-2026-9
4400-1112-001,Lyon Site,2025-12-15,2026-04-01,Standard,33500,kWh,5025.00,EUR,INV-LY-2026-10
2200-9001-001,Rotterdam Plant,2026-01-01,2026-01-31,Peak,98750,kWh,16787.50,EUR,INV-RO-2026-44
2200-9001-001,Rotterdam Plant,2026-01-01,2026-01-31,Off-Peak,72400,kWh,9772.00,EUR,INV-RO-2026-44
2200-9001-002,Rotterdam Plant Annex,2026-01-01,2026-01-31,Standard,12450,kWh,2117.00,EUR,INV-RO-2026-45
